Span,Alpha4,V4,Beta4,W4,Loss,eta N2,1.5 TS,1.5SS,Cske,StageTT,StageTS,RotorTT,RotorTS,Pitch4
97.54098361,-3.664420016,24.78828099,62.72369382,52.87715574,0.455584679,,,,0.280758343,0.776246341,0.693786229,0.793526082,0.707557172,11.49379791
94.26229508,-1.279905936,26.39436133,61.09115454,54.2429913,0.384763652,,,,0.229726962,0.792317367,0.696206002,0.810342735,0.710085203,6.365410352
90.98360656,-2.423890083,25.92543158,60.90255181,53.18462616,0.353986933,,,,0.228624433,0.79012716,0.697449666,0.808054834,0.711381281,3.037490742
87.70491803,-1.84357071,23.18556654,63.43054167,51.80347348,0.369096371,,,,0.170209032,0.769792651,0.697737746,0.786805786,0.711686125,0.499139497
84.42622951,-0.812944243,22.41685256,64.17323969,51.44036985,0.437611303,,,,0.145667134,0.762964827,0.696682143,0.779649929,0.710567751,-0.061021796
81.14754098,1.20189342,21.49547827,65.23309252,51.27110922,0.477159703,,,,0.112086157,0.75712362,0.696536695,0.773585411,0.710445075,0.196489889
77.86885246,5.710923395,21.49491217,65.93925773,52.34024153,0.437448139,,,,0.068229206,0.754712363,0.694497801,0.771064639,0.708320947,1.443072872
74.59016393,10.70083758,22.16679112,66.27616,53.90795768,0.367478205,,,,0.035256003,0.760055754,0.695012833,0.776624637,0.708841443,2.901118468
71.31147541,15.93748247,23.28687322,66.43645243,55.7718677,0.276725809,,,,0.01368594,0.767987223,0.695310063,0.784895216,0.709140541,4.066368836
68.03278689,20.3626398,24.75051575,66.37080999,57.68337325,0.185680284,,,,0.007995021,0.778633816,0.695903966,0.796002727,0.709745257,4.331429939
64.75409836,22.6157339,25.88175302,66.07048353,58.71342334,0.123404987,,,,0.010892854,0.787180408,0.695895793,0.804969498,0.709761977,4.421281599
61.47540984,23.51410838,26.62977234,65.64999504,59.07373974,0.084467621,,,,0.012531164,0.793761972,0.696270352,0.811875502,0.710168688,4.069138288
58.19672131,22.83435088,27.25824243,64.80390533,58.91127602,0.071594614,,,,0.008980694,0.799298049,0.696520557,0.817651226,0.710416283,3.300776818
54.91803279,21.89551695,27.71116638,63.98332347,58.53626299,0.066492179,,,,0.006489519,0.802765275,0.69633634,0.821259644,0.71020952,2.877635349
51.63934426,20.08453854,28.09390556,62.86469896,57.77191462,0.081082564,,,,0.005437006,0.802090256,0.693093655,0.820599634,0.706871124,2.550311941
48.36065574,19.02378825,28.43408915,62.02221737,57.24213185,0.085413692,,,,0.005049925,0.803630942,0.692021417,0.82220682,0.705751816,2.101378727
45.08196721,18.5872413,28.73615022,61.43828076,56.91188564,0.087530349,,,,0.005689443,0.80481622,0.690872773,0.823438707,0.704550691,1.876407673
41.80327869,18.43989182,28.92521963,61.02563682,56.58948339,0.087685817,,,,0.005869773,0.8066831,0.691007205,0.825372947,0.70467582,1.545316168
38.52459016,19.35806097,29.06026225,61.0588325,56.59759085,0.076514647,,,,0.003820563,0.806658587,0.689995371,0.825321452,0.703604815,0.957106651
35.24590164,20.79421959,28.54901987,61.71164862,56.25117862,0.072855522,,,,0.002148811,0.803611671,0.690653705,0.822164575,0.70431315,0.336088288
31.96721311,21.98040791,27.97756427,62.33713901,55.79248741,0.082314869,,,,0.003907283,0.798830755,0.690256971,0.817125582,0.703874259,-0.299968506
28.68852459,26.21322307,26.90936427,64.41687499,55.79902239,0.06842526,,,,0.018408403,0.789195202,0.689291953,0.807083628,0.702899045,-0.3231249
25.40983607,29.8297547,26.43908009,65.85563065,55.95508492,0.055736141,,,,0.044119409,0.784271,0.687347281,0.801949812,0.700888726,-0.650495832
22.13114754,34.0106829,25.27313332,67.88643664,55.5516451,0.051313291,,,,0.081844325,0.775605368,0.688034694,0.792943751,0.70164453,-0.513867067
18.85245902,37.50561071,24.16807475,69.66713281,55.0538869,0.056445192,,,,0.116928647,0.770622146,0.692515587,0.787657621,0.706242042,-0.74801104
15.57377049,41.00791912,23.49075317,71.16416648,54.76516933,0.055184674,,,,0.156897738,0.765891912,0.692989285,0.782727375,0.706743487,-0.118757958
12.29508197,43.44659668,23.48840512,71.89627104,54.8211364,0.042216312,,,,0.188021082,0.765860686,0.692911363,0.78269535,0.706662921,0.785718053
9.016393443,43.94527383,23.45375137,71.95473234,54.4599748,0.03513916,,,,0.194836201,0.766204687,0.693601134,0.783031429,0.707361411,2.188058014
5.737704918,42.29166819,23.56851654,71.09280031,53.75557152,0.003546011,,,,0.171397815,0.76720097,0.693587284,0.784114413,0.707381541,2.545195386
2.459016393,41.0270394,23.41779968,70.52102429,52.95732361,-0.008687723,,,,0.150036983,0.76761906,0.694824665,0.784498853,0.708626009,2.209068968
